capture_id,wf_peak_z,wf_centre_excess_z,wf_centre_active_frac,wf_any_active_frac,wf_centre_to_any_ratio,wf_profile_peak_z,wf_profile_peak_offset,wf_track_jitter,wf_active_span_frac,wf_row_burstiness,label,recording_id,is_synthetic,source_file
rsp03_t1_RSP-03_01_w0000,7.917827197517007,1.060182264610361,0.84375,0.84375,1.0,41.12918078405856,0.0196078431372549,0.0,1.0,0.6252082194683919,1,rsp03_t1,0,Data/Satellite_Data_snapshots/RSP-03_01.raw#samples=0-1000000
rsp03_t1_RSP-03_01_w0001,7.818968413116722,0.7874745761073428,0.515625,0.515625,1.0,30.97430078617081,0.0196078431372549,0.0,0.671875,1.1196890307143372,1,rsp03_t1,0,Data/Satellite_Data_snapshots/RSP-03_01.raw#samples=1000000-2000000
rsp03_t1_RSP-03_01_w0002,2.268948930789726,-0.0301387381346108,0.0,0.0,0.0,3.061751950404038,0.9411764705882352,0.5,0.0,1.1802713921721113,0,rsp03_t1,0,Data/Satellite_Data_snapshots/RSP-03_01.raw#samples=2000000-3000000
rsp03_t1_RSP-03_01_w0003,2.199366441456833,0.0061752706713909,0.0,0.0,0.0,1.7050307736955883,0.6666666666666666,0.5,0.0,1.1998480933868276,0,rsp03_t1,0,Data/Satellite_Data_snapshots/RSP-03_01.raw#samples=3000000-4000000
rsp03_t1_RSP-03_01_w0004,2.2600014900280887,0.0307410525292948,0.0,0.0,0.0,2.5727906692399927,0.9019607843137256,0.5,0.0,1.2716101549310614,0,rsp03_t1,0,Data/Satellite_Data_snapshots/RSP-03_01.raw#samples=4000000-5000000
rsp03_t1_RSP-03_01_w0005,2.214828046231748,-0.0394580129489393,0.0,0.0,0.0,1.9231266287020368,0.1764705882352941,0.5,0.0,1.2697494175066049,0,rsp03_t1,0,Data/Satellite_Data_snapshots/RSP-03_01.raw#samples=5000000-6000000
rsp03_t1_RSP-03_01_w0006,9.328309750367165,1.8994309628001425,0.578125,0.578125,1.0,26.709240488909384,0.0196078431372549,0.0,0.578125,0.9067008771730096,1,rsp03_t1,0,Data/Satellite_Data_snapshots/RSP-03_01.raw#samples=6000000-7000000
rsp03_t1_RSP-03_01_w0007,8.401166006073755,2.0788552900889736,0.984375,0.984375,1.0,20.252194235580998,0.0,0.0,1.0,0.311729057709479,1,rsp03_t1,0,Data/Satellite_Data_snapshots/RSP-03_01.raw#samples=7000000-8000000
rsp03_t1_RSP-03_01_w0008,10.70953972807049,1.5572681892166054,0.59375,0.59375,1.0,18.37313405135976,0.0196078431372549,0.0,0.609375,0.8730620333858203,1,rsp03_t1,0,Data/Satellite_Data_snapshots/RSP-03_01.raw#samples=8000000-9000000
rsp03_t1_RSP-03_01_w0009,2.166073908661466,0.0364693880771703,0.0,0.0,0.0,1.9398374930433175,0.7254901960784313,0.5,0.0,1.2109964969432243,0,rsp03_t1,0,Data/Satellite_Data_snapshots/RSP-03_01.raw#samples=9000000-10000000
rsp03_t1_RSP-03_01_w0010,2.277753434391096,0.0292311806897798,0.0,0.0,0.0,2.0826596930091146,0.9607843137254902,0.5,0.0,1.1792210475229088,0,rsp03_t1,0,Data/Satellite_Data_snapshots/RSP-03_01.raw#samples=10000000-11000000
rsp03_t1_RSP-03_01_w0011,2.3014256184938047,-0.1025238741381549,0.0,0.0,0.0,2.1125512687897743,0.5686274509803921,0.5,0.0,1.2219827960522498,0,rsp03_t1,0,Data/Satellite_Data_snapshots/RSP-03_01.raw#samples=11000000-12000000
rsp03_t1_RSP-03_01_w0012,2.2317768580188613,0.022209505465747,0.0,0.0,0.0,3.2278636418183675,0.2352941176470588,0.5,0.0,1.278721288055574,0,rsp03_t1,0,Data/Satellite_Data_snapshots/RSP-03_01.raw#samples=12000000-13000000
rsp03_t1_RSP-03_01_w0013,2.1639697063291288,0.0030071961710285,0.0,0.0,0.0,2.365341740550253,0.9803921568627452,0.5,0.0,1.1460702686164956,0,rsp03_t1,0,Data/Satellite_Data_snapshots/RSP-03_01.raw#samples=13000000-14000000
rsp03_t1_RSP-03_01_w0014,2.343609850297404,0.0289608014281328,0.0,0.0,0.0,2.880892058450576,0.0196078431372549,0.5,0.0,1.2723624501721704,0,rsp03_t1,0,Data/Satellite_Data_snapshots/RSP-03_01.raw#samples=14000000-15000000
rsp03_t1_RSP-03_01_w0015,2.238298810445493,0.0778164524011309,0.0,0.0,0.0,2.016700489008732,0.5686274509803921,0.5,0.0,1.225602345228704,0,rsp03_t1,0,Data/Satellite_Data_snapshots/RSP-03_01.raw#samples=15000000-16000000
rsp03_t1_RSP-03_01_w0016,2.19933094456138,0.0156725184264834,0.0,0.0,0.0,2.4098218763501045,0.8431372549019608,0.5,0.0,1.1551742179186544,0,rsp03_t1,0,Data/Satellite_Data_snapshots/RSP-03_01.raw#samples=16000000-17000000
rsp03_t1_RSP-03_01_w0017,2.225555241822019,-0.0081398160516826,0.0,0.0,0.0,2.7759835808880515,0.196078431372549,0.5,0.0,1.208759480063616,0,rsp03_t1,0,Data/Satellite_Data_snapshots/RSP-03_01.raw#samples=17000000-18000000
rsp03_t1_RSP-03_01_w0018,2.243350544368873,-0.0475871111597391,0.0,0.0,0.0,2.0086939485095074,0.8235294117647058,0.5,0.0,1.2348916784710924,0,rsp03_t1,0,Data/Satellite_Data_snapshots/RSP-03_01.raw#samples=18000000-19000000
rsp03_t1_RSP-03_01_w0019,2.28533505021101,-0.0072689081007061,0.0,0.0,0.0,1.8272042228165888,0.0980392156862745,0.5,0.0,1.2629851418731353,0,rsp03_t1,0,Data/Satellite_Data_snapshots/RSP-03_01.raw#samples=19000000-20000000
rsp03_t1_RSP-03_01_w0021,9.36060766726141,1.3311063616748204,0.890625,0.890625,1.0,50.54740182146079,0.0196078431372549,0.0,0.953125,0.669947786443912,1,rsp03_t1,0,Data/Satellite_Data_snapshots/RSP-03_01.raw#samples=21000000-22000000
rsp03_t1_RSP-03_2_w0000,6.897173120548227,0.651797308088944,0.671875,0.671875,1.0,34.172342185592804,0.0196078431372549,0.0,0.96875,0.6775521599819756,1,rsp03_t1,0,Data/Satellite_Data_snapshots/RSP-03_2.raw#samples=0-1000000
rsp03_t1_RSP-03_2_w0001,7.147547726739653,0.478374529976316,0.53125,0.53125,1.0,17.992744945367452,0.0196078431372549,0.0,0.671875,1.1032803019229829,1,rsp03_t1,0,Data/Satellite_Data_snapshots/RSP-03_2.raw#samples=1000000-2000000
rsp03_t1_RSP-03_2_w0002,2.2064720381486937,-0.0988922511631741,0.0,0.0,0.0,4.243230196753133,0.2156862745098039,0.5,0.0,1.1189980202086742,0,rsp03_t1,0,Data/Satellite_Data_snapshots/RSP-03_2.raw#samples=2000000-3000000
rsp03_t1_RSP-03_2_w0003,2.249981601403163,-0.0577182866103523,0.0,0.0,0.0,2.276191729823108,0.7843137254901961,0.5,0.0,1.168963355218125,0,rsp03_t1,0,Data/Satellite_Data_snapshots/RSP-03_2.raw#samples=3000000-4000000
rsp03_t1_RSP-03_2_w0004,2.3733380142936515,-0.0604646759467153,0.0,0.0,0.0,2.173079668228441,0.3137254901960784,0.5,0.0,1.136524998635993,0,rsp03_t1,0,Data/Satellite_Data_snapshots/RSP-03_2.raw#samples=4000000-5000000
rsp03_t1_RSP-03_2_w0005,2.3357722536845142,0.0075498397698558,0.0,0.0,0.0,2.5116685421355944,0.392156862745098,0.5,0.0,1.1769832064170016,0,rsp03_t1,0,Data/Satellite_Data_snapshots/RSP-03_2.raw#samples=5000000-6000000
rsp03_t1_RSP-03_2_w0006,9.75847893498191,1.9524306656134487,0.578125,0.578125,1.0,26.93942148645702,0.0196078431372549,0.0,0.578125,0.914895587834513,1,rsp03_t1,0,Data/Satellite_Data_snapshots/RSP-03_2.raw#samples=6000000-7000000
